,country,year,healthcare,education,safety,environment,infrastructure,qol
3,Austria,2011,-0.4117565241024149,-1.391591639385606,-0.44143324682081264,0.10314796074460764,-0.08475136896344862,1.07512469036187
4,Austria,2012,-0.0726371764091414,-1.3042268315115002,-0.44647089828964365,0.07707122909569004,-0.050660136236899904,1.261656080920897
6,Austria,2014,-0.8712085435578153,0.20681519763501174,-0.031643198247176305,-0.07938916079781597,-0.032000786816487416,1.0396574541288153
7,Austria,2015,-0.8055725407784728,0.313867849537086,0.028136932516285174,0.12922469239352524,-0.015581636345249988,0.9332557454296511
8,Austria,2016,-1.0134198829130598,0.4159985404321672,0.07629993368041207,0.024917765797854863,-0.003142070064974995,0.7848187937876085
9,Austria,2017,-1.0024805491165034,0.491058445788794,0.1749768400274537,0.18137815569136087,-0.0004261878453420852,0.9595277722689514
10,Austria,2018,-1.0462378843027311,0.5353560948517205,0.15174258082878456,0.25960835063811366,0.03393788962501642,1.1000831158592048
11,Austria,2019,-0.9477838801337158,0.655944139523022,0.1912805120538523,0.41606874053162013,0.04694289073621301,1.163135980273523
12,Austria,2020,-0.6414825338301151,0.6645575712852578,0.14575846150823377,0.024917765797854863,-0.17495886735434898,1.1289823453824337
13,Austria,2021,-0.06169784261258484,0.7433089473971283,0.06448435114442659,0.024917765797854863,-0.12787699376627787,0.991054204476111
14,Austria,2022,-0.16015184678159852,0.8257517942642427,0.06098852633726809,-0.027235697499980782,0.00671085624273488,0.9043565159064223
20,Belgium,2011,0.39775417684281705,0.5599658998866808,-0.26580239788474924,0.7550662519675497,-0.1076793025995168,0.9253741373778621
37,Bulgaria,2011,0.5071475148083889,-0.9264663242248723,-0.4332050827550553,-0.13154262409565137,-0.46572699778874216,-3.3096765891172453
38,Bulgaria,2012,0.48526884721527574,-0.8612503408822295,-0.4316632560933828,-0.2880030139891576,-0.4707153895193171,-3.1888252656564666
40,Bulgaria,2014,0.5180868486049455,-0.5240960119032845,-0.4274041507606438,-0.3140797456380752,-0.47411338359847444,-2.8775017476107654
41,Bulgaria,2015,0.34305750786003114,-0.48102885309210563,-0.41563436505619317,-0.1576193557445692,-0.4778775640443239,-2.878815348952731
42,Bulgaria,2016,0.8900241976878902,-0.44657512604316263,-0.4045210006037417,-0.3140797456380752,-0.47983953315606137,-2.225955481996133
43,Bulgaria,2017,0.6274801865705173,-0.42934826251869096,-0.4006893323653278,-0.20977281904240438,-0.4802523903341946,-1.9382767881058025
44,Bulgaria,2018,0.9009635314844467,-0.4035079672319834,-0.3923390434154776,-0.3662332089359106,-0.48001185615215175,-1.8358158834325335
45,Bulgaria,2019,1.0322355370431349,-0.47241542132986974,-0.39334657370924375,-0.3662332089359106,-0.48001185615215175,-1.7162781613137197
46,Bulgaria,2020,0.8790848638913337,-0.3370614936375929,-0.40181898754318685,-0.6009237937761697,-0.4881271922492835,-1.5008475412314628
47,Bulgaria,2021,0.3649361754531443,-0.2878418835676737,-0.4018342531536985,-0.3401564772869928,-0.4875276518253857,-1.362919400325139
48,Bulgaria,2022,1.0978715398224772,-0.23000884173551905,-0.3950868533075672,-0.1576193557445692,-0.47689568197285054,-1.2381272728384658
54,Croatia,2011,-0.20390918196782787,-1.4703430154974766,-0.35828146636407754,-0.7834609153185935,-0.428812180970004,-1.0318918621499635
55,Croatia,2012,0.2993001726738018,-1.2869999679870285,-0.3654868345255571,-0.8616911102653465,-0.4687982961878115,-0.981975011155295
57,Croatia,2014,-0.5211498620679867,-0.975685934294791,-0.4355254555528199,-0.9920747685099349,-0.4790066386749578,-0.8532420796427256
58,Croatia,2015,-1.2322065588442035,-0.8624808311339772,-0.43346459813375265,-0.9399213052120997,-0.47943744616518374,-1.209228043315236
59,Croatia,2016,-0.8274512083715859,-0.8329490650920265,-0.29950886589438225,-0.9138445735631819,-0.4811247755019022,-1.465380304998408
60,Croatia,2017,-0.8821478773543734,-0.7640416109941397,-0.29654733745513007,-0.7834609153185935,-0.4827510737775052,-1.428599467423389
61,Croatia,2018,-0.9149658787440447,-0.6176132710361311,-0.3058898910882349,-0.8877678419142643,-0.481959465014215,-1.282789718465275
62,Croatia,2019,-0.9259052125406012,-0.5757766024766996,-0.3059051566987465,-0.8877678419142643,-0.4827079930284826,-1.186896820501832
63,Croatia,2020,-0.6852398690163445,-0.5523972876934883,-0.33616159673275586,-0.9138445735631819,-0.4947831679732748,-0.6916691145810335
64,Croatia,2021,-0.6743005352197879,-0.5536277779452361,-0.3402069835183323,-0.8877678419142643,-0.4940041244284495,-0.3724639884835421
65,Croatia,2022,-0.3133025199333997,-0.4834898335956015,-0.3366348306586157,-0.8095376469675113,-0.48494460191523914,-0.3724639884835421
88,Czechia,2011,0.26648217128413215,-1.4198929151758095,-0.4213589689980466,1.0419103001056442,-0.21711158524175125,-0.06376767312177058
89,Czechia,2012,0.33211817406347305,-1.2697731044625569,-0.41862642471646855,0.9376033735099738,-0.20851159071811523,-0.15571976705931978
91,Czechia,2014,0.5509048499946182,-1.019983583357718,-0.3914078411742694,0.7811429836164673,-0.2029021181891312,0.12670452146315145
92,Czechia,2015,0.2993001726738018,-0.9498456390080835,-0.39214059047882666,0.7811429836164673,-0.20211050942584097,0.2462422435819652
93,Czechia,2016,0.36493617545314583,-0.8489454383647496,-0.3918658094896177,0.8332964469143029,-0.19740752765754077,0.26331906102750985
94,Czechia,2017,-0.03981917501947017,-0.7628111207423915,-0.3913773099532462,0.8854499102121381,-0.19030279413123075,0.3973063979079386
95,Czechia,2018,0.2446035036910159,-0.7394318059591799,-0.39342290176180184,0.9376033735099738,-0.17852020927355036,0.5825241871250012
96,Czechia,2019,0.10239216433577443,-0.7665025914976356,-0.40328448615230134,0.9376033735099738,-0.17083568066664456,0.6600266663009343
97,Czechia,2020,0.00393816016675918,-0.7049780789102369,-0.41287128955359187,0.7811429836164673,-0.2861861812058583,0.7309611387670438
98,Czechia,2021,0.0805134967426582,-0.5204045411480408,-0.41279496150103384,0.8854499102121381,-0.2758198759722958,0.6718490783786196
99,Czechia,2022,0.025816827759872298,-0.47487640183336566,-0.4127338990589874,0.7029127886697145,-0.205375671195512,0.5733289777312456
105,Denmark,2011,0.025816827759872298,0.09114911397070248,-0.1246107662628761,0.7550662519675497,-0.16929374885787743,1.901379934457844
106,Denmark,2012,-0.0726371764091414,0.2105066683902558,-0.12358797035859828,0.5203756671272904,-0.15588307069338472,1.6872629157175514
108,Denmark,2014,-0.18203051437471476,0.3310947130615573,-0.047992667105109715,0.3639152772337845,-0.14437333057951413,1.4692050929513647
109,Denmark,2015,-0.5867858648473292,0.44060834546712657,-0.09806386958318776,0.18137815569136087,-0.1372973175525525,1.4678914916093995
110,Denmark,2016,-0.30236318613684315,0.551352468124444,-0.11531400946130611,0.2856850822870317,-0.13883027420527325,1.46263708624154
111,Denmark,2017,-0.4226958578989715,0.7088552203481848,-0.05423630180435786,0.1553014240424433,-0.1475056600396988,1.5059859305263839
112,Denmark,2018,-0.19296984817127133,0.7297735546279006,-0.016285994072497485,0.23353161898919605,-0.1497656043321759,1.565097990914808
113,Denmark,2019,-0.6086645324404439,0.8282127747677381,0.026213465591822423,-0.0011589658510631894,-0.14744283394737417,1.6255236526451975
114,Denmark,2020,-0.8274512083715859,0.8429786577887135,-0.0002418374247962558,-0.13154262409565137,-0.27794339789286804,1.5913700177541081
115,Denmark,2021,-1.1337525546751883,0.9537227804460319,-0.03924547228195766,-0.1576193557445692,-0.27762747240003566,1.612387639225548
116,Denmark,2022,-1.2759638940304312,0.9721801342222514,0.0004909118797609839,-0.2619262823402398,-0.1864021913134764,1.5467075721272991
122,Estonia,2011,-1.2322065588442035,0.5390475656069642,-0.41851956544288726,1.3287543482437392,-0.509757318321046,-1.4167770553457038
123,Estonia,2012,-1.429114567182231,0.6067245294531033,-0.406383405086158,1.4591380064883275,-0.5103801941506644,-1.2906713265170653
125,Estonia,2014,-1.429114567182231,0.6202599222223308,-0.4149932094147056,2.0589028344134346,-0.5076984175240077,-1.2867305224911703
126,Estonia,2015,-1.4619325685719038,0.4873669750335499,-0.40079619163890906,1.563444933083998,-0.5063449639922144,-1.1711336043982516
127,Estonia,2016,-1.0899952194889588,0.6325648247398108,-0.3905529669856193,2.0589028344134346,-0.505865690659338,-1.0476550782535439
128,Estonia,2017,-1.2540852264373166,0.6571746297747706,-0.3881867973563199,2.267516687604775,-0.5049556098362357,-0.8795141064820259
129,Estonia,2018,-1.7135372458927185,0.6694795322922497,-0.40807788785294663,2.4500538091471995,-0.504370429662012,-0.6772194998194185
130,Estonia,2019,-1.2869032278269894,0.7999114989775352,-0.4158175523823325,1.3287543482437392,-0.5032682804995172,-0.5077649267059351
131,Estonia,2020,-0.9040265449474881,0.8577445408096898,-0.4203514387042804,0.3117618139359493,-0.507556610058475,-0.28839350259778307
132,Estonia,2021,-1.1446918884717447,0.9488008194390402,-0.42158795315572073,0.4942989354783729,-0.5073896721560124,-0.08872609861910542
133,Estonia,2022,-0.5211498620679867,1.0447790590753823,-0.4255417462782275,0.6246825937229613,-0.5055012993238552,0.061024454364902524
148,Finland,2011,-0.8055725407784728,0.6067245294531033,-0.16552260243398864,0.1553014240424433,-0.3955610228493959,1.5375123627335434
149,Finland,2012,-1.0790558856924024,0.6473307077607862,-0.1699801607033785,-0.20977281904240438,-0.39384676804453844,1.2879281077601972
151,Finland,2014,-0.7836938731853582,0.8749714043341615,-0.14434920065438675,-0.13154262409565137,-0.3957656564072533,1.3102593305736012
152,Finland,2015,-0.8383905421681456,0.9660276829635109,-0.11913041208920841,-0.053312429148898374,-0.3819618664079294,1.319454539967357
153,Finland,2016,-0.7946332069819163,1.0152472930334306,-0.09336206154561213,0.2856850822870317,-0.3709008840963775,1.393016215117396
154,Finland,2017,-0.9477838801337174,1.058314451844609,-0.05492325427738027,0.3117618139359493,-0.3644585170862899,1.6071332338576874
155,Finland,2018,-0.9696625477268306,1.162906123243187,-0.03146001092103699,0.8593731785632206,-0.3612292559408044,1.7870966177068908
156,Finland,2019,-1.1884492236579742,1.3044125021942037,0.016886177569229225,0.5203756671272904,-0.35171738556285675,1.8396406713854903
157,Finland,2020,-1.0681165518958458,1.4533018226557095,0.08987106142523263,0.20745488734027848,-0.4114039683024561,1.882989515670334
158,Finland,2021,-0.0070011736297973795,0.9192690533970885,-0.04519906038148524,0.6507593253718789,-0.4195552050237734,1.8554038874890695
